Date,Open,High,Low,Close,% Change
"Sep 03, 2025 11:30",0.039224,0.039271,0.039207,0.039271,0.12%
"Sep 03, 2025 11:00",0.039175,0.039224,0.039175,0.039224,0.13%
"Sep 03, 2025 10:30",0.039189,0.039189,0.039122,0.039175,-0.04%
"Sep 03, 2025 10:00",0.039084,0.03926,0.039084,0.039189,0.27%
"Sep 03, 2025 9:30",0.038881,0.039088,0.038862,0.039084,0.52%
"Sep 03, 2025 9:00",0.038919,0.038919,0.038872,0.038881,-0.10%
"Sep 03, 2025 8:30",0.038904,0.038939,0.038865,0.038919,0.04%
"Sep 03, 2025 8:00",0.038821,0.038949,0.038807,0.038904,0.21%
"Sep 03, 2025 7:30",0.038815,0.038887,0.038815,0.038821,0.02%
"Sep 03, 2025 7:00",0.0389,0.038948,0.038815,0.038815,-0.22%
"Sep 03, 2025 6:30",0.038946,0.038948,0.0389,0.0389,-0.12%
"Sep 03, 2025 6:00",0.038992,0.038992,0.038833,0.038946,-0.12%
"Sep 03, 2025 5:30",0.039018,0.03904,0.038991,0.038991,-0.07%
"Sep 03, 2025 5:00",0.039092,0.039092,0.039,0.039018,-0.19%
"Sep 03, 2025 4:30",0.038952,0.039092,0.038952,0.039092,0.36%
"Sep 03, 2025 4:00",0.039025,0.039025,0.038928,0.038952,-0.19%
"Sep 03, 2025 3:30",0.038993,0.039025,0.038993,0.039025,0.08%
"Sep 03, 2025 3:00",0.039041,0.039041,0.038934,0.039011,-0.08%
"Sep 03, 2025 2:30",0.039087,0.039087,0.039017,0.039041,-0.12%
"Sep 03, 2025 2:00",0.038909,0.0391,0.038874,0.039064,0.40%
"Sep 03, 2025 1:30",0.038651,0.038677,0.038623,0.038666,0.04%
"Sep 03, 2025 1:00",0.038703,0.038703,0.038611,0.038651,-0.13%
"Sep 03, 2025 0:30",0.038762,0.038762,0.038703,0.038703,-0.15%
"Sep 03, 2025 0:00",0.038878,0.038878,0.038675,0.038762,-0.30%
"Sep 02, 2025 23:30",0.038892,0.038892,0.038875,0.038875,-0.04%
"Sep 02, 2025 23:00",0.038926,0.038982,0.038891,0.038891,-0.09%
"Sep 02, 2025 22:30",0.038876,0.03894,0.038849,0.038926,0.13%
"Sep 02, 2025 22:00",0.038927,0.038955,0.038865,0.038876,-0.13%
"Sep 02, 2025 21:30",0.038742,0.038927,0.038742,0.038927,0.48%
"Sep 02, 2025 21:00",0.038706,0.038777,0.038706,0.038742,0.09%
"Sep 02, 2025 20:30",0.038701,0.03885,0.038658,0.038706,0.01%
"Sep 02, 2025 20:00",0.038576,0.038722,0.03853,0.038701,0.32%
"Sep 02, 2025 19:30",0.038622,0.038668,0.038552,0.038576,-0.12%
"Sep 02, 2025 19:00",0.038899,0.038918,0.038622,0.038622,-0.71%
"Sep 02, 2025 18:30",0.038821,0.038938,0.038757,0.038899,0.20%
"Sep 02, 2025 18:00",0.038983,0.038983,0.038793,0.038821,-0.42%
"Sep 02, 2025 17:30",0.038868,0.038988,0.038868,0.038983,0.30%
"Sep 02, 2025 17:00",0.038819,0.038868,0.038819,0.038868,0.13%
"Sep 02, 2025 16:30",0.038787,0.038839,0.038719,0.038819,0.08%
"Sep 02, 2025 16:00",0.038775,0.038814,0.038655,0.038787,0.03%
"Sep 02, 2025 15:30",0.038972,0.038972,0.038746,0.038746,-0.58%
"Sep 02, 2025 15:00",0.039062,0.039078,0.038901,0.03897,-0.24%
"Sep 02, 2025 14:30",0.039235,0.039235,0.039015,0.039027,-0.53%
"Sep 02, 2025 14:00",0.039386,0.039386,0.039126,0.039235,-0.38%
"Sep 02, 2025 13:30",0.039351,0.039436,0.039258,0.039359,0.02%
"Sep 02, 2025 13:00",0.039324,0.039407,0.039275,0.039382,0.15%
"Sep 02, 2025 12:30",0.039613,0.039618,0.039333,0.039333,-0.71%
"Sep 02, 2025 12:00",0.039626,0.039628,0.0395,0.039613,-0.03%
"Sep 02, 2025 11:30",0.039777,0.039777,0.039629,0.039629,-0.37%
"Sep 02, 2025 11:00",0.039755,0.039777,0.039755,0.039777,0.06%
"Sep 02, 2025 10:30",0.039782,0.039782,0.039739,0.039755,-0.07%
"Sep 02, 2025 10:00",0.03985,0.03985,0.039752,0.039782,-0.17%
"Sep 02, 2025 9:30",0.039825,0.03985,0.039825,0.03985,0.06%
"Sep 02, 2025 9:00",0.039806,0.039828,0.03978,0.039825,0.05%
"Sep 02, 2025 8:30",0.039849,0.039864,0.0398,0.039806,-0.11%
"Sep 02, 2025 8:00",0.039718,0.039879,0.03968,0.039849,0.33%
"Sep 02, 2025 7:30",0.039826,0.039869,0.039719,0.039721,-0.26%
"Sep 02, 2025 7:00",0.03997,0.03997,0.039826,0.039826,-0.36%
"Sep 02, 2025 6:30",0.039828,0.03997,0.039828,0.03997,0.36%
"Sep 02, 2025 6:00",0.039792,0.039869,0.039792,0.039828,0.09%
"Sep 02, 2025 5:30",0.039789,0.03981,0.039789,0.039792,0.01%
"Sep 02, 2025 5:00",0.039779,0.039789,0.039717,0.039789,0.03%
"Sep 02, 2025 4:30",0.039657,0.039785,0.039657,0.039779,0.31%
"Sep 02, 2025 4:00",0.039589,0.039657,0.039574,0.039657,0.17%
"Sep 02, 2025 3:30",0.039663,0.039663,0.039589,0.039589,-0.19%
"Sep 02, 2025 3:00",0.039571,0.03973,0.039571,0.039663,0.23%
"Sep 02, 2025 2:30",0.039584,0.039636,0.039519,0.039571,-0.03%
"Sep 02, 2025 2:00",0.03957,0.039608,0.039537,0.039605,0.09%
"Sep 02, 2025 1:30",0.039492,0.03957,0.039469,0.03957,0.20%
"Sep 02, 2025 1:00",0.03942,0.039492,0.039371,0.039492,0.18%
"Sep 02, 2025 0:30",0.039517,0.039517,0.039417,0.03942,-0.25%
"Sep 02, 2025 0:00",0.039459,0.039537,0.039321,0.039517,0.15%
"Sep 01, 2025 23:30",0.039601,0.039601,0.039438,0.039459,-0.36%
"Sep 01, 2025 23:00",0.039513,0.039601,0.039513,0.039601,0.22%
"Sep 01, 2025 22:30",0.039565,0.039565,0.039433,0.039513,-0.13%
"Sep 01, 2025 22:00",0.039471,0.03972,0.039471,0.039565,0.24%
"Sep 01, 2025 21:30",0.039541,0.039583,0.039191,0.039471,-0.18%
"Sep 01, 2025 21:00",0.039375,0.039554,0.039,0.039541,0.42%
"Sep 01, 2025 20:30",0.039879,0.039879,0.039343,0.039386,-1.24%
"Sep 01, 2025 20:00",0.03998,0.03998,0.039879,0.039879,-0.25%
"Sep 01, 2025 19:30",0.039833,0.039996,0.039833,0.039989,0.39%
"Sep 01, 2025 19:00",0.039788,0.039833,0.039788,0.039833,0.11%
"Sep 01, 2025 18:30",0.039769,0.039834,0.039769,0.03981,0.10%
"Sep 01, 2025 18:00",0.039724,0.039842,0.039704,0.039769,0.11%
"Sep 01, 2025 17:30",0.039756,0.039756,0.039693,0.039724,-0.08%
"Sep 01, 2025 17:00",0.040053,0.040053,0.039754,0.039758,-0.74%
"Sep 01, 2025 16:30",0.040063,0.040063,0.04,0.040053,-0.02%
"Sep 01, 2025 16:00",0.040096,0.040096,0.039997,0.040063,-0.08%
"Sep 01, 2025 15:30",0.040206,0.040206,0.040062,0.040096,-0.27%
"Sep 01, 2025 15:00",0.040255,0.040301,0.040134,0.040206,-0.12%
"Sep 01, 2025 14:30",0.040336,0.040336,0.040233,0.040255,-0.20%
"Sep 01, 2025 14:00",0.040194,0.040336,0.040194,0.040336,0.35%
"Sep 01, 2025 13:30",0.040326,0.040326,0.04017,0.040194,-0.33%
"Sep 01, 2025 13:00",0.040378,0.040403,0.040328,0.040348,-0.07%
"Sep 01, 2025 12:30",0.040476,0.040476,0.040378,0.040378,-0.24%
"Sep 01, 2025 12:00",0.040399,0.040476,0.040399,0.040476,0.19%
"Sep 01, 2025 11:30",0.040502,0.040505,0.040366,0.040399,-0.25%
"Sep 01, 2025 11:00",0.040601,0.040601,0.040514,0.040521,-0.20%
"Sep 01, 2025 10:30",0.0407,0.040711,0.040576,0.040601,-0.24%
"Sep 01, 2025 10:00",0.04057,0.040708,0.04052,0.040707,0.34%
"Sep 01, 2025 9:30",0.040827,0.040827,0.040565,0.04057,-0.63%
"Sep 01, 2025 9:00",0.040801,0.040842,0.040801,0.040827,0.06%
"Sep 01, 2025 8:30",0.04084,0.040862,0.040801,0.040801,-0.10%
"Sep 01, 2025 8:00",0.040788,0.040901,0.040788,0.04084,0.13%
"Sep 01, 2025 7:30",0.040765,0.040788,0.040632,0.040788,0.06%
"Sep 01, 2025 7:00",0.040748,0.040748,0.040586,0.040739,-0.02%
"Sep 01, 2025 6:30",0.040735,0.040751,0.040735,0.040748,0.03%
"Sep 01, 2025 6:00",0.040771,0.040771,0.040667,0.040735,-0.09%
"Sep 01, 2025 5:30",0.040802,0.040814,0.040771,0.040771,-0.08%
"Sep 01, 2025 5:00",0.040854,0.040854,0.040704,0.040802,-0.13%
"Sep 01, 2025 4:30",0.040865,0.040877,0.040779,0.040853,-0.03%
"Sep 01, 2025 4:00",0.040928,0.040986,0.040797,0.040897,-0.08%
"Sep 01, 2025 3:30",0.040767,0.040928,0.040715,0.040928,0.39%
"Sep 01, 2025 3:00",0.040745,0.040795,0.040718,0.040767,0.05%
"Sep 01, 2025 2:30",0.040781,0.040781,0.040658,0.040745,-0.09%
"Sep 01, 2025 2:00",0.040856,0.040856,0.040707,0.040781,-0.18%
"Sep 01, 2025 1:30",0.040725,0.040871,0.04072,0.040844,0.29%
"Sep 01, 2025 1:00",0.040634,0.040725,0.040599,0.040725,0.22%
"Sep 01, 2025 0:30",0.040567,0.040675,0.040543,0.040634,0.17%
"Sep 01, 2025 0:00",0.040579,0.040688,0.040462,0.040567,-0.03%
